citta,baseline_2020_11,baseline_2020_12,baseline_2021_01 ,baseline_2021_11,baseline_2021_12,baseline_2022_01
BOLZANO,79,96,116,76,94,116
TRENTO,74,75,96,74,80,96
AOSTA,30,30,39,32,30,39
TORINO,663,772,895,675,776,895
MILANO,942,1031,1221,948,1029,1221
BRESCIA,140,154,192,141,148,192
VERONA,201,208,259,202,213,259
VENEZIA,249,290,338,251,290,338
PADOVA,207,202,239,208,195,239
GENOVA,628,688,782,630,687,782
BOLOGNA,316,354,427,313,358,427
FIRENZE,318,357,410,316,344,410
ANCONA,84,83,100,85,78,100
PERUGIA,125,149,175,128,149,175
ROMA,2008,2312,2649,2015,2308,2795
VITERBO,54,56,76,52,56,76
RIETI,38,45,51,37,43,51
CIVITAVECCHIA,29,41,41,30,38,41
FROSINONE,31,33,41,28,33,41
LATINA,78,85,103,76,81,103
PESCARA,94,111,129,101,107,129
CAMPOBASSO,32,33,45,34,35,45
NAPOLI,728,830,1051,728,823,1051
BARI,229,247,301,228,248,301
POTENZA,49,51,66,46,52,66
TARANTO,119,138,177,111,136,177
CATANZARO,62,73,82,62,72,82
REGGIOCALABRIA,133,162,177,134,159,177
PALERMO,480,580,684,478,567,684
CATANIA,232,256,312,221,250,312
